IID,WOLF DNA,HETEROZYGOTE SNPs,COMPLETE SNP CELLS,RELATIVE FST
zm14672,0.2143,23,62,0.370967742
zt660,0.2151,20,60,0.333333333
zt672,0.2165,20,57,0.350877193
zm13971,0.2177,17,51,0.333333333
zt600,0.218,23,63,0.365079365
zm15985,0.2181,11,62,0.177419355
zm14665,0.2182,18,63,0.285714286
zm15306,0.2195,23,63,0.365079365
zm14666,0.2196,20,62,0.322580645
zm13615,0.2197,15,55,0.272727273
zt406,0.2201,23,63,0.365079365
zt303,0.2202,16,53,0.301886792
zt415,0.2202,23,63,0.365079365
zt452,0.2202,20,63,0.317460317
zt239,0.2205,20,62,0.322580645
zm15981,0.2208,24,58,0.413793103
zt698,0.2208,14,63,0.222222222
zm15146,0.2213,18,61,0.295081967
zt631,0.2216,18,61,0.295081967
zt234,0.222,21,62,0.338709677
zm13986,0.2224,23,63,0.365079365
zt675,0.2224,20,62,0.322580645
zt188,0.223,24,62,0.387096774
zt225,0.2233,29,61,0.475409836
zm15613,0.2239,19,50,0.38
zm14782,0.224,23,63,0.365079365
zm14818,0.224,24,62,0.387096774
zt251,0.2242,13,59,0.220338983
zt421,0.2242,20,59,0.338983051
zm15319,0.2243,24,63,0.380952381
zt643,0.2243,18,62,0.290322581
adk2868,0.2258,20,60,0.333333333
ztpb10,0.2278,19,63,0.301587302
adk483,0.2287,22,63,0.349206349
zt642,0.2287,23,62,0.370967742
zt702,0.2287,19,61,0.31147541
zt606,0.2288,21,60,0.35
zt342,0.2289,17,63,0.26984127
zt703,0.2293,25,61,0.409836066
zt247,0.2301,15,63,0.238095238
zt384,0.2302,22,63,0.349206349
zt629,0.2307,14,62,0.225806452
zm15310,0.2314,17,62,0.274193548
zm14819,0.2315,28,62,0.451612903
zt41,0.2319,20,63,0.317460317
zm14638,0.2322,14,63,0.222222222
zm15321,0.2325,18,63,0.285714286
zt411,0.2326,27,63,0.428571429
zt466,0.2326,21,63,0.333333333
zm15520,0.2333,23,62,0.370967742
zt486,0.2333,16,52,0.307692308
zt417,0.2334,18,63,0.285714286
ztpb6,0.2339,29,60,0.483333333
zt292,0.2361,18,62,0.290322581
zt463,0.2362,26,63,0.412698413
zm13580,0.2363,19,63,0.301587302
zt625,0.2364,22,59,0.372881356
zt458,0.2369,15,61,0.245901639
zm15171,0.2373,24,62,0.387096774
zt480,0.2373,19,60,0.316666667
zm13616,0.2374,22,62,0.35483871
zt416,0.2375,19,63,0.301587302
zm15622,0.238,23,63,0.365079365
zt634,0.2386,17,53,0.320754717
zt677,0.2387,22,61,0.360655738
zt419,0.2389,20,63,0.317460317
zm15987,0.2394,20,61,0.327868852
zt324,0.2397,19,61,0.31147541
zm15173,0.2402,28,63,0.444444444
zt244,0.2404,25,60,0.416666667
zm13979,0.2422,16,52,0.307692308
zm15373,0.2424,20,63,0.317460317
zm15544,0.2424,21,62,0.338709677
zt623,0.2424,23,63,0.365079365
zt454,0.2428,28,63,0.444444444
zm15679,0.2429,18,50,0.36
mcz63344,0.243,17,59,0.288135593
zt650,0.2436,15,59,0.254237288
zm15126,0.2438,17,63,0.26984127
