IID,WOLF DNA,HETEROZYGOTE SNPs,COMPLETE SNP CELLS,RELATIVE FST,State/Province
zm14705,0.3517,25,62,0.403225806,Connecticut
zm14487,0.3527,15,46,0.326086957,New York
zm15143,0.3542,25,59,0.423728814,Vermont
zm15379,0.3563,25,63,0.396825397,Quebec
zm15612,0.3573,21,44,0.477272727,New Jersey
zm15627,0.3606,27,57,0.473684211,Pennsylvania
zt639,0.3623,14,52,0.269230769,Pennsylvania
zm15609,0.3632,25,53,0.471698113,New Jersey
zm15611,0.3642,27,55,0.490909091,New Jersey
zm15705,0.3642,31,63,0.492063492,Maine
zt260,0.3666,15,46,0.326086957,New York
zm15973,0.3671,13,51,0.254901961,Pennsylvania
ztpb150.664,0.371,29,63,0.46031746,New York
zm14624,0.3734,23,59,0.389830508,New York
zm15139,0.3737,26,62,0.419354839,Vermont
zt478,0.38,25,61,0.409836066,Pennsylvania
adk2798,0.3869,27,62,0.435483871,New York
zm15136,0.3869,28,63,0.444444444,Ohio
zm13642,0.4019,16,41,0.390243902,New York
zt385,0.4058,31,63,0.492063492,New York
zt184,0.4122,19,54,0.351851852,New York
zm15576,0.4147,15,47,0.319148936,New Jersey
zm15635,0.415,9,44,0.204545455,Maine
zm15120,0.4251,16,38,0.421052632,New York
zm14623,0.4404,17,61,0.278688525,New York
zm15199,0.4631,31,63,0.492063492,New York
